cve_id,cvss_score,description,access_vector,access_complexity,exploit,predicted_severity
cve-2008-5305,10.0,"twiki, twiki version prior to 4.2.4. successful exploitation could allow execution of arbitrary script code or commands. this could let attackers steal cookie-based authentication credentials or compromise the affected application.",network,low,exploits/php/webapps/32645.txt,high
cve-1999-0618,10.0,,network,low,,high
cve-2011-2523,9.8,the vsftpd 2.3.4 source package downloaded between 20110630 and 20110703 is affected. attackers can exploit this issue to execute arbitrary commands in the context of the application. successful attacks will compromise the affected application.,network,low,exploits/unix/remote/17491.rb,high
cve-2012-1823,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2311,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2336,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2335,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,,high
cve-2020-1938,9.8,"apache tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the ajp connector is enabled. other products like jboss or wildfly which are using tomcat might be affected as well.",network,low,exploits/multiple/webapps/49039.rb,high
cve-2011-2523,9.8,the vsftpd 2.3.4 source package downloaded between 20110630 and 20110703 is affected. attackers can exploit this issue to execute arbitrary commands in the context of the application. successful attacks will compromise the affected application.,network,low,exploits/unix/remote/17491.rb,high
cve-2004-2687,9.3,distcc by default trusts its clients completely that in turn could allow a malicious client to execute arbitrary commands on the server.,network,medium,exploits/multiple/remote/9915.rb,high
cve-2016-7144,8.1,unrealircd before 3.2.10.7 and 4.x before 4.0.6. successful exploitation of this vulnerability will allows remote attackers to spoof certificate fingerprints and consequently log in as another user.,network,medium,,high
cve-2011-3556,7.5,"an unauthenticated, remote attacker could exploit the vulnerability by transmitting crafted packets to the affected software. when the packets are processed, the attacker could execute arbitrary code on the system with elevated privileges.",network,low,exploits/multiple/remote/17535.rb,high
cve-1999-0501,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-1999-0502,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,exploits/multiple/remote/41694.rb,high
cve-1999-0507,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0508,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2001-1594,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2013-7404,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2014-9198,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2015-7261,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2016-8731,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2017-8218,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-9068,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-17771,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2018-19063,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-19064,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0501,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-1999-0502,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,exploits/multiple/remote/41694.rb,high
cve-1999-0507,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0508,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2001-1594,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2013-7404,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2014-9198,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2015-7261,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2016-8731,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2017-8218,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-9068,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-17771,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
